id,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado
6717,22,2019-09-29,11:03,Corinthians,Vasco,4-1-4-1,4-3-3,F. Carille,V. Luxemburgo da Silva,Corinthians,Neo Química Arena,1,0,SP,RJ
6721,22,2019-09-29,15:11,Athletico-PR,Chapecoense,4-3-3,4-3-3,T. Retzalff Nunes,M. dos Santos Gonçalves,ausente,Estádio Joaquim Américo Guimarães,1,1,PR,SC
6718,22,2019-09-29,16:00,Santos,CSA,4-3-3,4-2-2-2,J. Sampaoli Moya,A. Fucks,Santos,Estádio Urbano Caldeira,2,0,SP,AL
6719,22,2019-09-29,16:00,Internacional,Palmeiras,4-3-3,4-2-3-1,O. Hellmann,L. Venker de Menezes,ausente,Estádio José Pinheiro Borda,1,1,RS,SP
6720,22,2019-09-29,16:00,Fluminense,Gremio,4-1-4-1,4-2-3-1,M. de Oliveira,Renato Gaúcho,Fluminense, Maracanã,2,1,RJ,RS
6722,22,2019-09-29,19:01,Atletico-MG,Ceara,4-1-4-1,4-2-3-1,R. Marques Santana,E. Alves Moreira,Atletico-MG,Estádio Raimundo Sampaio,2,1,MG,CE
6723,22,2019-09-30,20:00,Avai,Bahia,4-5-1,4-3-3,A. Valentim do Carmo Neto,R. Machado Marques,Bahia,  Ressacada,0,2,SC,BA
6724,22,2019-09-30,20:00,Fortaleza,Botafogo,4-2-3-1,4-1-4-1,R. Ceni,E. de Souza Barroca,Fortaleza,Arena Castelão,1,0,CE,RJ
6725,22,2019-09-30,20:01,Goias,Cruzeiro,4-3-3,4-2-3-1,N. da Silveira Júnior,A. da Silva Braga,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),1,0,GO,MG
6714,21,2019-10-02,19:15,Atletico-MG,Vasco,4-2-3-1,4-4-2,R. Marques Santana,V. Luxemburgo da Silva,Vasco,Estádio Raimundo Sampaio,1,2,MG,RJ
6715,21,2019-10-02,19:16,Chapecoense,Corinthians,4-1-4-1,4-1-4-1,M. dos Santos Gonçalves,F. Carille,Corinthians,Arena Condá,0,1,SC,SP
6726,23,2019-10-05,17:00,Vasco,Santos,4-3-3,3-4-3,V. Luxemburgo da Silva,J. Sampaoli Moya,Santos,Estádio Vasco da Gama,0,1,RJ,SP
6727,23,2019-10-05,17:02,Sao Paulo,Fortaleza,4-1-4-1,4-2-3-1,F. Diniz Silva,R. Ceni,Sao Paulo,Estádio Municipal Paulo Machado de Carvalho,2,1,SP,CE
6728,23,2019-10-05,19:00,Gremio,Corinthians,4-2-3-1,4-4-1-1,Renato Gaúcho,F. Carille,ausente,Arena do Grêmio,0,0,RS,SP
6729,23,2019-10-05,19:02,Bahia,Athletico-PR,4-3-3,4-2-3-1,R. Machado Marques,T. Retzalff Nunes,Athletico-PR,Itaipava Arena Fonte Nova,1,2,BA,PR
6730,23,2019-10-05,21:00,Cruzeiro,Internacional,4-2-3-1,4-3-3,A. da Silva Braga,O. Hellmann,ausente, Mineirão,1,1,MG,RS
6731,23,2019-10-06,11:01,Chapecoense,Flamengo,4-1-4-1,4-2-3-1,M. dos Santos Gonçalves,J. Pinheiro de Jesus,Flamengo,Arena Condá,0,1,SC,RJ
6733,23,2019-10-06,16:00,Palmeiras,Atletico-MG,4-2-3-1,5-4-1,L. Venker de Menezes,R. Marques Santana,ausente,Allianz Parque,1,1,SP,MG
6734,23,2019-10-06,16:00,Botafogo,Fluminense,4-1-2-1-2,4-1-4-1,E. de Souza Barroca,M. de Oliveira,Fluminense,Estádio Nilton Santos,0,1,RJ,RJ
6732,23,2019-10-06,16:01,Ceara,Goias,4-4-2,4-3-3,A. Batista,N. da Silveira Júnior,Goias,Arena Castelão,0,1,CE,GO
6735,23,2019-10-06,19:00,CSA,Avai,4-3-3,4-1-4-1,A. Fucks,A. Valentim do Carmo Neto,CSA,Estádio Rei Pelé,3,1,AL,SC
6737,24,2019-10-09,19:15,Botafogo,Goias,4-3-1-2,4-3-3,B. Lazaroni,N. da Silveira Júnior,Botafogo-RJ,Estádio Nilton Santos,3,1,RJ,GO
6736,24,2019-10-09,19:16,CSA,Internacional,4-2-3-1,4-3-3,A. Fucks,O. Hellmann,CSA,Estádio Rei Pelé,1,0,AL,RS
6738,24,2019-10-09,20:31,Fortaleza,Chapecoense,4-2-3-1,4-2-4-0,R. Ceni,M. dos Santos Gonçalves,Fortaleza,Arena Castelão,2,0,CE,SC
6740,24,2019-10-09,21:00,Gremio,Ceara,4-2-3-1,4-2-3-1,Renato Gaúcho,A. Batista,Gremio,Estádio Francisco Stédile (Centenário),2,1,RS,CE
6739,24,2019-10-09,21:01,Bahia,Sao Paulo,4-1-4-1,4-2-3-1,R. Machado Marques,F. Diniz Silva,ausente,Itaipava Arena Fonte Nova,0,0,BA,SP
6741,24,2019-10-09,21:30,Cruzeiro,Fluminense,4-4-2,4-1-4-1,A. da Silva Braga,M. de Oliveira,ausente, Mineirão,0,0,MG,RJ
6742,24,2019-10-09,21:30,Santos,Palmeiras,4-3-3,4-2-3-1,J. Sampaoli Moya,L. Venker de Menezes,Santos,Estádio Urbano Caldeira,2,0,SP,SP
6743,24,2019-10-10,15:24,Corinthians,Athletico-PR,4-2-3-1,4-3-3,F. Carille,T. Retzalff Nunes,ausente,Neo Química Arena,2,2,SP,PR
6744,24,2019-10-10,19:19,Avai,Vasco,4-2-3-1,4-2-3-1,A. Valentim do Carmo Neto,V. Luxemburgo da Silva,ausente,  Ressacada,0,0,SC,RJ
6745,24,2019-10-10,20:00,Flamengo,Atletico-MG,4-2-3-1,5-4-1,J. Pinheiro de Jesus,R. Marques Santana,Flamengo, Maracanã,3,1,RJ,MG
6746,25,2019-10-12,17:01,Goias,CSA,4-3-3,4-2-3-1,N. da Silveira Júnior,A. Fucks,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),1,0,GO,AL
6747,25,2019-10-12,19:00,Fluminense,Bahia,4-1-4-1,4-3-3,M. de Oliveira,R. Machado Marques,Fluminense, Maracanã,2,0,RJ,BA
6748,25,2019-10-12,21:00,Palmeiras,Botafogo,4-2-3-1,4-1-4-1,L. Venker de Menezes,B. Lazaroni,Palmeiras,Estádio Municipal Paulo Machado de Carvalho,1,0,SP,RJ
6750,25,2019-10-13,13:22,Athletico-PR,Flamengo,4-1-4-1,4-2-3-1,T. Retzalff Nunes,J. Pinheiro de Jesus,Flamengo,Estádio Joaquim Américo Guimarães,0,2,PR,RJ
6749,25,2019-10-13,16:00,Internacional,Santos,4-3-3,4-3-3,R. Colbachini,J. Sampaoli Moya,ausente,Estádio José Pinheiro Borda,0,0,RS,SP
